1,1," troche za płytki uchwyt",0
2,1," zbyt czuły spust migawki",0
3,1," bardzo przyjemny tryb video",1
4,1," bardzo szybki shutter",1
5,1," pomiar światła dla obiektyw&#243;w m42",1
6,1," skuteczne wysokie iso",1
7,1," szybki autofokus",1
8,1," świetny kolor zdjeć",1
9,3,"wysoka jakość wykonania, cena, stosunek jakości do",1
10,11," funkcjonalność",1
11,11," jakość zdjęć",1
12,11," szybkość działania",1
13,15," drogi jak na polskie realia",0
14,15," duże możliwości personalizacji",1
15,15," ergonomia",1
16,15," jasny",1
17,15," szeroki wizjer",1
18,15," mnogość funkcji",1
19,15," prosta obsługa",1
20,15," wysoka jakość wykonania",1
21,15," względnie niski szum przy wysokim iso",1
22,16,cena,0
23,16,"łatwość czyszczenia, solidność, kr&#243;tki czas r",1
24,17,cena,0
25,17,"solidność konstrukcji, solidność, kr&#243;tki czas",1
26,18," 2 sloty sd",1
27,18," bardzo wygodny w użytkowaniu. po d70 i d",1
28,18," bardzo żywotna bateria",1
29,18," funkcjonalność",1
30,18," jakosc korpusu",1
31,18," jakość zdjęć",1
32,18," matryca",1
33,18," ekran",1
34,18," uszczelnienie",1
35,18," mnogość funkcji",1
36,18," niesamowity sprzęt",1
37,18," szybkość działania",1
38,19,"cena, kiepskie działanie przy słabym świetle",0
39,22," brak wad",0
40,22," moze dosc kaprysny przy doborz",0
41,22," matryca",1
42,22," ekran",1
43,22," uszczelnienie",1
44,23," funkcjonalność",0
45,23," jakość zdjęć",0
46,23," szybkość działania",0
47,23," waga",0
48,23," zbyt wysoka cena",0
49,28," nie dostrzegam",0
50,28," bardzo wygodny w użytkowaniu. po d70 i d",1
51,29," funkcjonalność",1
52,29," jakość zdjęć",1
53,29," szybkość działania",1
54,33," funkcjonalność",0
55,33," jakość zdjęć",1
56,33," szybkość działania",1
57,36," czy to wada może m&#243;j pech",0
58,36," mało miejsca na zalety",1
59,37," funkcjonalność",1
60,37," jakość zdjęć",1
61,37," szybkość działania",1
62,42," funkcjonalność",1
63,42," jakość zdjęć",1
64,42," szybkość działania",1
65,53," - trafny autofocus",1
66,53," 2 sloty kart",1
67,53," duża ilość p&#243;l autofocusa",1
68,53," jakość zdjęć",1
69,53," łatwość obsługi",1
70,53," wykonanie",1
71,55," ?",0
72,55," brak przykrywki ekranu lcd",0
73,55," długi czas pracy na baterii",1
74,55," jakość wykonania",1
75,55," jest m&#243;j :-)",1
76,55," kapitalny układ autofocus",1
77,55," silnik w body",1
78,55," super zdjęcia przy wysokich iso",1
79,55," szybki dostęp do ustawień",1
80,55," świetna jakość zdjęć",1
81,57," 1 funkcjonalność",1
82,57," 2 funkcjonalność",1
83,57," 3 funkcjonalność",1
84,58," mały bufor",0
85,58," af",1
86,58," matryca",1
87,58," mnogość funkcji",1
88,58," wielkość puszki",1
89,59," 2 sloty sd",1
90,59," funkcjonalność",1
91,59," jakość zdjęć",1
92,59," niesamowity sprzęt",1
93,59," szybkość działania",1
94,63," funkcjonalność",1
95,64," cena",1
96,64," funkcjonalność",1
97,64," jakość zdjęć",1
98,64," szybkość działania",1
99,65," funkcjonalność",1
100,65," jakość zdjęć",1
101,65," szybkość działania",1
102,75," funkcjonalność",1
103,75," jakość zdjęć",1
104,75," szybkość działania",1
105,76," duża ilość p&#243;l autofocusa",1
